Chevrolet Chevelle Malibu,18,8,307,130,3504,12,70,US
Buick Skylark 320,15,8,350,165,3693,11.5,70,US
Plymouth Satellite,,8,318,150,3436,11,70,US
AMC Rebel SST,16,8,304,150,3433,12,70,US
Ford Torino,17,8,302,140,3449,10.5,70,US
Ford Galaxie 500,15,8,429,198,4341,10,70,US
Chevrolet Impala,14,8,454,220,4354,9,70,US
Plymouth Fury iii,,8,440,215,4312,8.5,70,US
Pontiac Catalina,14,8,455,225,4425,10,70,US
AMC Ambassador DPL,15,8,390,190,3850,8.5,70,US
Citroen DS-21 Pallas,,4,133,115,3090,17.5,70,Europe
Chevrolet Chevelle Concours (sw),,8,350,165,4142,11.5,70,US
Ford Torino (sw),0,8,351,153,4034,11,70,US
Plymouth Satellite (sw),0,8,383,175,4166,10.5,70,US
AMC Rebel SST (sw),0,8,360,175,3850,11,70,US
Dodge Challenger SE,15,8,383,170,3563,10,70,US
Plymouth 'Cuda 340,,8,340,160,3609,8,70,US
Ford Mustang Boss 302,0,8,302,140,3353,8,70,US
Chevrolet Monte Carlo,15,8,400,150,3761,9.5,70,US
Buick Estate Wagon (sw),14,8,455,225,3086,10,70,US
Ford F250,10,8,360,215,4615,14,70,US
Chevy C20,10,8,307,200,4376,15,70,US
Dodge D200,11,8,318,210,4382,13.5,70,US
Hi 1200D,9,8,304,193,4732,18.5,70,US
Plymouth Satellite Custom,16,6,225,105,3439,15.5,71,US
Chevrolet Chevelle Malibu,17,6,250,100,3329,15.5,71,US
Ford Torino 500,19,6,250,88,3302,15.5,71,US
AMC Matador,18,6,232,100,3288,15.5,71,US
Chevrolet Impala,14,8,350,165,4209,12,71,US
Pontiac Catalina Brougham,14,8,400,175,4464,11.5,71,US
Ford Galaxie 500,14,8,351,153,4154,13.5,71,US
Plymouth Fury iii,14,8,318,150,4096,13,71,US
Dodge Monaco (sw),12,8,383,180,4955,11.5,71,US
Ford Country Squire (sw),13,8,400,170,4746,12,71,US
Pontiac Safari (sw),13,8,400,175,5140,12,71,US
Pontiac Firebird,19,6,250,100,3282,15,71,US
Ford Mustang,18,6,250,88,3139,14.5,71,US
Chevrolet Impala,13,8,350,165,4274,12,72,US
Pontiac Catalina,14,8,400,175,4385,12,72,US
Plymouth Fury III,15,8,318,150,4135,13.5,72,US
Ford Galaxie 500,14,8,351,153,4129,13,72,US
AMC Ambassador SST,17,8,304,150,3672,11.5,72,US
Mercury Marquis,11,8,429,208,4633,11,72,US
Buick LeSabre Custom,13,8,350,155,4502,13.5,72,US
Oldsmobile Delta 88 Royale,12,8,350,160,4456,13.5,72,US
Chrysler Newport Royal,13,8,400,190,4422,12.5,72,US
AMC Matador (sw),15,8,304,150,3892,12.5,72,US
Chevrolet Chevelle Concours (sw),13,8,307,130,4098,14,72,US
Ford Gran Torino (sw),13,8,302,140,4294,16,72,US
Plymouth Satellite Custom (sw),14,8,318,150,4077,14,72,US
Peugeot 504 (sw),21,4,120,87,2979,19.5,72,Europe
Buick Century 350,13,8,350,175,4100,13,73,US
AMC Matador,14,8,304,150,3672,11.5,73,US
Chevrolet Malibu,13,8,350,145,3988,13,73,US
Ford Gran Torino,14,8,302,137,4042,14.5,73,US
Dodge Coronet Custom,15,8,318,150,3777,12.5,73,US
Mercury Marquis Brougham,12,8,429,198,4952,11.5,73,US
Chevrolet Caprice Classic,13,8,400,150,4464,12,73,US
Ford LTD,13,8,351,158,4363,13,73,US
Plymouth Fury Gran Sedan,14,8,318,150,4237,14.5,73,US
Chrysler New Yorker Brougham,13,8,440,215,4735,11,73,US
Buick Electra 225 Custom,12,8,455,225,4951,11,73,US
AMC Ambassador Brougham,13,8,360,175,3821,11,73,US
Plymouth Valiant,18,6,225,105,3121,16.5,73,US
Chevrolet Nova Custom,16,6,250,100,3278,18,73,US
Ford Maverick,18,6,250,88,3021,16.5,73,US
Chevrolet Impala,11,8,400,150,4997,14,73,US
Ford Country,12,8,400,167,4906,12.5,73,US
Plymouth Custom Suburb,13,8,360,170,4654,13,73,US
Oldsmobile Vista Cruiser,12,8,350,180,4499,12.5,73,US
Chevrolet Monte Carlo S,15,8,350,145,4082,13,73,US
Pontiac Grand Prix,16,8,400,230,4278,9.5,73,US
Dodge Dart Custom,15,8,318,150,3399,11,73,US
Oldsmobile Omega,11,8,350,180,3664,11,73,US
Plymouth Duster,20,6,198,95,3102,16.5,74,US
Chevrolet Nova,15,6,250,100,3336,17,74,US
Chevrolet Chevelle Malibu Classic,16,6,250,100,3781,17,74,US
AMC Matador,16,6,258,110,3632,18,74,US
Plymouth Satellite Sebring,18,6,225,105,3613,16.5,74,US
Ford Gran Torino,16,8,302,140,4141,14,74,US
Buick Century Luxus (sw),13,8,350,150,4699,14.5,74,US
Dodge Coronet Custom (sw),14,8,318,150,4457,13.5,74,US
Ford Gran Torino (sw),14,8,302,140,4638,16,74,US
AMC Matador (sw),14,8,304,150,4257,15.5,74,US
Plymouth Valiant Custom,19,6,225,95,3264,16,75,US
Chevrolet Nova,18,6,250,105,3459,16,75,US
Mercury Monarch,15,6,250,72,3432,21,75,US
Ford Maverick,15,6,250,72,3158,19.5,75,US
Pontiac Catalina,16,8,400,170,4668,11.5,75,US
Chevrolet Bel Air,15,8,350,145,4440,14,75,US
Plymouth Grand Fury,16,8,318,150,4498,14.5,75,US
Ford LTD,14,8,351,148,4657,13.5,75,US
Buick Century,17,6,231,110,3907,21,75,US
Chevrolete Chevelle Malibu,16,6,250,105,3897,18.5,75,US
AMC Matador,15,6,258,110,3730,19,75,US
Plymouth Fury,18,6,225,95,3785,19,75,US
Buick Skyhawk,21,6,231,110,3039,15,75,US
Chevrolet Monza 2+2,20,8,262,110,3221,13.5,75,US
Ford Mustang II,13,8,302,129,3169,12,75,US
Ford Pinto,18,6,171,97,2984,14.5,75,US
AMC Pacer,19,6,232,90,3211,17,75,US
Chevrolet Chevelle Malibu Classic,17.5,8,305,140,4215,13,76,US
Dodge Coronet Brougham,16,8,318,150,4190,13,76,US
AMC Matador,15.5,8,304,120,3962,13.9,76,US
Ford Gran Torino,14.5,8,351,152,4215,12.8,76,US
Plymouth Valiant,22,6,225,100,3233,15.4,76,US
Chevrolet Nova,22,6,250,105,3353,14.5,76,US
Ford Maverick,24,6,200,81,3012,17.6,76,US
AMC Hornet,22.5,6,232,90,3085,17.6,76,US
Dodge Aspen SE,20,6,225,100,3651,17.7,76,US
Ford Grenada ghia,18,6,250,78,3574,21,76,US
Pontiac Ventura SJ,18.5,6,250,110,3645,16.2,76,US
AMC Pacer d/l,17.5,6,258,95,3193,17.8,76,US
Volvo 245,20,4,130,102,3150,15.7,76,Europe
Plymouth Volare Premier v8,13,8,318,150,3940,13.2,76,US
Peugeot 504,19,4,120,88,3270,21.9,76,Europe
Mercedes-Benz 280s,16.5,6,168,120,3820,16.7,76,Europe
Cadillac Seville,16.5,8,350,180,4380,12.1,76,US
Chevrolet C10,13,8,350,145,4055,12,76,US
Ford F108,13,8,302,130,3870,15,76,US
Dodge D100,13,8,318,150,3755,14,76,US
Chevrolet Caprice Classic,17.5,8,305,145,3880,12.5,77,US
Oldsmobile Cutlass Supreme,17,8,260,110,4060,19,77,US
Dodge Monaco Brougham,15.5,8,318,145,4140,13.7,77,US
Mercury Cougar Brougham,15,8,302,130,4295,14.9,77,US
Chevrolet Concours,17.5,6,250,110,3520,16.4,77,US
Buick Skylark,20.5,6,231,105,3425,16.9,77,US
Plymouth Volare Custom,19,6,225,100,3630,17.7,77,US
Ford Grenada,18.5,6,250,98,3525,19,77,US
Pontiac Grand Prix LJ,16,8,400,180,4220,11.1,77,US
Chevrolet Monte Carlo Landau,15.5,8,350,170,4165,11.4,77,US
Chrysler Cordoba,15.5,8,400,190,4325,12.2,77,US
Ford Thunderbird,16,8,351,149,4335,14.5,77,US
Oldsmobile Cutlass Salon Brougham,19.9,8,260,110,3365,15.5,78,US
Dodge Diplomat,19.4,8,318,140,3735,13.2,78,US
Mercury Monarch ghia,20.2,8,302,139,3570,12.8,78,US
Pontiac Phoenix LJ,19.2,6,231,105,3535,19.2,78,US
Chevrolet Malibu,20.5,6,200,95,3155,18.2,78,US
Plymouth Volare,20.5,6,225,100,3430,17.2,78,US
AMC Concord,19.4,6,232,90,3210,17.2,78,US
Buick Century Special,20.6,6,231,105,3380,15.8,78,US
Mercury Zephyr,20.8,6,200,85,3070,16.7,78,US
Dodge Aspen,18.6,6,225,110,3620,18.7,78,US
AMC Concord d/l,18.1,6,258,120,3410,15.1,78,US
Chevrolet Monte Carlo Landau,19.2,8,305,145,3425,13.2,78,US
Buick Regal Sport Coupe (turbo),17.7,6,231,165,3445,13.4,78,US
Ford Futura,18.1,8,302,139,3205,11.2,78,US
Dodge Magnum XE,17.5,8,318,140,4080,13.7,78,US
Volvo 264gl,17,6,163,125,3140,13.6,78,Europe
Peugeot 604sl,16.2,6,163,133,3410,15.8,78,Europe
Pontiac Lemans V6,21.5,6,231,115,3245,15.4,79,US
Mercury Zephyr 6,19.8,6,200,85,2990,18.2,79,US
AMC Concord DL 6,20.2,6,232,90,3265,18.2,79,US
Dodge Aspen 6,20.6,6,225,110,3360,16.6,79,US
Chevrolet Caprice Classic,17,8,305,130,3840,15.4,79,US
Ford LTD Landau,17.6,8,302,129,3725,13.4,79,US
Mercury Grand Marquis,16.5,8,351,138,3955,13.2,79,US
Dodge St. Regis,18.2,8,318,135,3830,15.2,79,US
Buick Estate Wagon (sw),16.9,8,350,155,4360,14.9,79,US
Ford Country Squire (sw),15.5,8,351,142,4054,14.3,79,US
Chevrolet Malibu Classic (sw),19.2,8,267,125,3605,15,79,US
Chrysler Lebaron Town @ Country (sw),18.5,8,360,150,3940,13,79,US
Mercedes Benz 300d,25.4,5,183,77,3530,20.1,79,Europe
Cadillac Eldorado,23,8,350,125,3900,17.4,79,US
Peugeot 504,27.2,4,141,71,3190,24.8,79,Europe
Oldsmobile Cutlass Salon Brougham,23.9,8,260,90,3420,22.2,79,US
AMC Concord,24.3,4,151,90,3003,20.1,80,US
Dodge Aspen,19.1,6,225,90,3381,18.7,80,US
Mercedes-Benz 240d,30,4,146,67,3250,21.8,80,Europe
Peugeot 505s Turbo Diesel,28.1,4,141,80,3230,20.4,81,Europe
Volvo Diesel,30.7,6,145,76,3160,19.6,81,Europe
Buick Century,22.4,6,231,110,3415,15.8,81,US
Oldsmobile Cutlass LS,26.6,8,350,105,3725,19,81,US
Ford Grenada gl,20.2,6,200,88,3060,17.1,81,US
Chrysler Lebaron Salon,17.6,6,225,85,3465,16.6,81,US
AMC Concord DL,23,4,151,0,3035,20.5,82,US
Oldsmobile Cutlass Ciera (diesel),38,6,262,85,3015,17,82,US
